unitid,peo1istr,peo2istr,peo3istr,peo4istr,peo5istr,peo6istr,public1,public2,public3,public4,public5,public6,public7,public8,public9,private,relaffil,level1,level2,level3,level4,level5,level6,level7,level8,level9,level10,level11,level12,multype,fopna,fopna1,fopna2,insttoyr,licensed,accrd1,accrd2,accrd3,accrd4,regaccrd,saccr,calsys,crsloc1,crsloc2,crsloc3,crsloc4,crsloc5,crsloc6,facloc1,facloc2,facloc3,facloc4,facloc5,facloc6,facloc7,facloc8,facloc9,facloc10,mili,mil1insl,mil2insl,admreq1,admreq2,admreq3,admreq4,admreq4a,admreq4b,admreq4c,admreq5,admreq6,admreq7,admreq8,admreq9,admreq10,yrscoll,mode1,mode2,mode3,mode4,mode5,mode6,mode7,mode8,mode9,mode10,mode11,mode12,mode13,mode14,stusrv1,stusrv2,stusrv3,stusrv4,stusrv5,stusrv6,stusrv7,stusrv8,stusrv9,libfac,libshar1,libshar2,libshar3,finaid1,finaid2,finaid3,finaid4,finaid5,finaid6,finaid7,finaid8,finaid9,jtpa,rotc,rotc1,rotc2,rotc3,webic,webef,webc,webf,websa,webs,webgr,athaid,athaid1,athaid2,athaid3,athaid4,athaid5,athassoc,assoc1,assoc2,assoc3,assoc4,assoc5,assoc6,sport1,confno1,sport2,confno2,sport3,confno3,sport4,confno4,ftslt15,facpt,facml,facrl,facmd,pctpost
"100797","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-5","-5","1","-5","-2","2","6","1","-5","-5","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","2","-2","-2","-2","-5","-5","-5","-5","-5","-5","-5","-5","1","-5","-5","1","-2","-5","1","-5","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-5","-5","-5","-5","-5","-5","-5","-5","1","1","-2","-2","-2","1","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","2","2","2","2","2","2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"100812","-5","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","1","1","-5","-5","8","2","1","1","-5","-5","1","-5","-5","1","-5","-5","1","-5","1","-5","-5","-5","-5","1","1","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","-5","1","1","1","1","1","1","-5","-5","1","-2","-2","-2","1","1","1","1","1","1","-5","-5","-5","2","2","-2","-2","-2","1","1","1","1","1","1","1","1","-5","1","-5","-5","1","1","-5","1","-5","-5","-5","-5","-1","-1","1","335","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2"
"100830","-5","1","1","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","-5","-5","-5","-5","1","-5","1","1","1","-5","-5","-5","-5","1","1","-5","-2","-2","1","1","1","-5","8","1","2","1","-5","-5","1","-5","-5","1","-5","-5","1","-5","1","-5","-5","1","-5","1","1","-5","-5","1","-5","1","1","1","-5","-5","1","-5","1","-5","-5","-2","1","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","1","1","1","1","1","1","1","-5","-5","1","-2","-2","-2","1","1","1","1","1","1","-5","1","-5","2","1","1","-5","1","1","1","1","1","1","1","1","1","-5","1","1","-5","1","1","-5","1","-5","-5","-5","-5","2","-2","1","334","1","334","2","-2","-2","-2","-2","-2","-2","-2"
"100858","-5","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","-5","-5","-5","-5","1","-5","1","1","1","1","-5","-5","-5","2","-2","-2","-2","-2","1","1","-5","-5","8","1","2","1","-5","1","1","1","-5","1","-5","1","1","1","1","-5","1","1","1","2","-2","-2","-5","1","-5","1","1","1","-5","1","-5","-5","1","-5","1","-2","1","1","1","1","-5","-5","-5","1","1","1","1","1","-5","-5","-5","1","1","1","1","1","1","-5","-5","1","-2","-2","-2","1","1","1","1","1","1","1","1","-5","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","-5","-5","-5","-5","-5","1","130","1","130","1","130","1","130","-2","-2","-2","-2","-2","-2"
"100885","1","-5","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","3","54","-5","-5","-5","1","-5","1","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","1","-5","-5","-5","-2","1","1","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-5","1","-5","1","-5","-5","1","-5","-5","1","-5","-5","-5","4","-5","-5","-5","-5","-5","-5","1","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","2","2","-2","-2","-2","2","2","2","2","2","2","2","2","-2","-2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"100900","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","1","-4","-2","-2","-2","-5","-5","1","-5","-2","2","6","1","-5","-5","-2","-2","-2","-5","-5","-5","-5","1","-2","-2","-2","-2","-2","2","-2","-2","-2","1","-5","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-2","-5","-5","-5","-5","-5","-5","1","-2","-2","-2","-2","-2","-2","-2","-5","-5","-5","-5","-5","-5","-5","-5","1","3","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","2","-2","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"100919","1","-5","-2","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-4","-2","-2","-2","1","-5","-5","-5","-2","1","1","1","-5","-5","1","-5","-5","1","-5","-5","-5","1","1","-5","-5","-5","-5","2","-2","-2","-5","1","-5","1","-5","-5","1","1","1","1","1","-5","1","-2","1","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","1","1","1","1","1","1","1","-5","-5","1","-2","-2","-2","1","1","1","-5","1","-5","-5","1","-5","1","2","-2","-2","-2","1","1","1","1","1","1","1","2","-2","-2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"100928","-5","-5","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","2","-2","-2","-2","-2","-2","-2","-2","1","-2","2","1","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","4","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","1","-5","-5","1","1","1","-5","-5","3","-2","-2","-2","1","-5","-5","-5","-5","-5","-5","-5","-5","2","2","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2"
"100937","-5","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","3","71","-5","-5","-5","-5","1","-5","1","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","1","1","1","-5","8","1","4","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-5","1","1","1","1","1","-5","-5","1","-5","1","-5","1","-2","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","-5","1","1","1","-5","-5","1","-5","-5","1","-2","-2","-2","1","1","1","1","1","1","-5","-5","-5","2","1","1","-5","1","1","1","1","4","4","4","1","1","-5","1","1","1","1","1","-5","1","-5","-5","-5","-5","2","-2","1","317","1","317","1","317","-2","-2","-2","-2","-2","-2"
"100973","1","-5","-5","1","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-2","-2","-2","1","-5","-5","1","-5","-5","8","1","1","1","-5","-5","-2","-2","-2","1","-5","-5","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","1","-5","1","1","1","-5","-5","1","1","1","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","1","1","-5","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","1","1","1","1","1","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","2","2","2","2","2","-1"
"101000","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","1","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","-1","-1","-1","-1","-2","2","6","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-5","-5","-5","-5","-5","-5","1","-2","-2","-2","-2","-2","-2","-2","-5","-5","-5","-5","-5","-5","-5","-5","1","3","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"101019","1","-5","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-2","-2","-2","-2","1","-5","-5","-5","-2","1","6","1","-5","-5","-2","-2","-2","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","2","-2","-2","-2","1","-5","1","-5","-5","1","-5","1","1","-5","-5","-5","-2","-5","1","-5","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-5","1","-5","1","-5","-5","1","-5","-5","-1","-2","-2","-2","-5","1","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"101028","1","1","-2","1","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-4","-2","-2","-2","1","1","-5","-5","8","1","1","1","-5","-5","1","-5","-5","1","-5","-5","1","-5","1","-5","-5","1","-5","1","1","-5","-5","1","-5","1","1","1","-5","-5","1","1","1","1","1","-2","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","1","1","-5","-5","1","1","1","-5","-5","1","-2","-2","-2","1","1","1","-5","1","-5","-5","-5","-5","1","2","-2","-2","-2","1","1","1","1","1","1","1","1","-5","-5","1","-5","1","1","-5","-5","1","-5","-5","-5","-1","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2"
"101037","1","-5","-2","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-4","-2","-2","-2","1","-5","-5","-5","-2","1","1","1","-5","-5","1","-5","-5","1","1","-5","-5","-5","1","1","-5","-5","-5","2","-2","-2","-5","1","-5","1","1","1","-5","-5","1","1","1","1","1","-2","1","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","1","1","-5","-5","-5","1","1","-5","3","-2","-2","-2","1","1","1","-5","-5","-5","-5","1","-5","1","2","-2","-2","-2","1","1","1","1","1","1","1","2","-2","-2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"101073","-5","1","-5","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","3","68","-5","-5","1","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-2","-2","-5","1","-5","-5","8","2","1","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-5","1","-5","-5","-5","-5","-5","-5","1","-5","-5","1","-5","-2","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","1","1","1","-5","1","-5","-5","1","-5","-5","1","-2","-2","-2","1","1","1","1","1","-5","-5","1","-5","2","2","-2","-2","-2","1","1","1","1","1","1","1","1","-5","1","1","-5","1","1","-5","-5","-5","1","-5","-5","-1","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2"
"101107","1","-5","-2","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-4","-2","-2","-2","1","-5","-5","-5","-2","1","1","1","-5","-5","1","-5","-5","1","-5","-5","-5","-5","1","-5","-5","-5","-5","2","-2","-2","-5","1","-5","1","-5","-5","1","-5","1","1","1","1","1","-2","1","1","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","1","1","1","1","-5","-5","1","-5","-5","3","-2","-2","-2","1","1","-5","-5","-5","-5","-5","-5","-5","1","2","-2","-2","-2","1","1","1","1","1","1","1","2","-2","-2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"101116","-5","1","-2","-5","-5","-5","-2","-2","-2","-2","-2","-2","-2","-2","-2","1","-2","-5","-5","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-4","-2","-2","-2","1","1","-5","-5","8","2","2","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-5","1","-5","1","1","1","-5","-5","-5","-5","-5","-5","-5","-2","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","1","1","1","-5","-5","1","-5","-5","1","-2","-2","-2","1","1","1","1","1","1","-5","-5","-5","2","2","-2","-2","-2","1","1","1","1","1","1","1","2","-2","-2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"101125","-5","1","-2","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","-2","-2","-5","-5","-5","1","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-4","-2","-2","-2","1","-5","-5","-5","-2","1","2","1","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","2","-2","-2","-5","1","-5","1","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-5","-5","-5","-5","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","1","-2","-2","-2","1","-5","-5","-5","-5","-5","-5","-5","-5","2","2","-2","-2","-2","-1","-1","-1","-1","-1","-1","-1","2","-2","-2","-2","-2","-2","2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2","-2"
"101143","1","1","-2","1","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-4","-2","-2","-2","-5","1","-5","-5","8","2","1","1","-5","-5","1","-5","-5","1","-5","1","1","-5","1","-5","1","1","-5","1","1","-5","-5","1","-5","1","1","1","-5","-5","1","1","1","1","1","-2","-5","1","1","-5","1","-5","-5","-5","-5","-5","-5","-5","-5","1","1","1","1","1","1","1","1","1","-5","1","-2","-2","-2","1","1","1","1","1","-5","-5","1","-5","1","1","-5","-5","1","1","1","1","1","1","1","1","1","-5","1","1","-5","1","1","-5","-5","1","-5","-5","-5","2","-2","2","-2","2","-2","2","-2","-2","-2","-2","-2","-2","-2"
"101161","1","1","-2","-5","1","-5","-5","1","-5","-5","-5","-5","-5","-5","-5","-2","-2","1","1","1","-5","-2","-2","-2","-2","-2","-2","-2","-2","-5","2","-4","-2","-2","-2","1","1","-5","-5","8","1","1","1","-5","-5","1","-5","-5","1","-5","1","-5","-5","1","-5","1","-5","-5","2","-2","-2","-5","1","-5","1","1","1","-5","-5","-5","1","1","1","1","-2","1","1","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","-5","1","1","1","1","1","1","1","1","-5","-5","1","-2","-2","-2","1","1","1","-5","1","-5","-5","1","-5","1","2","-2","-2","-2","1","1","1","1","1","1","1","1","-5","1","1","-5","1","1","-5","-5","1","-5","-5","-5","-1","-1","-1","-1","-1","-1","-1","-1","-2","-2","-2","-2","-2","-2"
