Geo_FIPS	Geo_GEOID	Geo_NAME	Geo_QName	Geo_STUSAB	Geo_SUMLEV	Geo_GEOCOMP	Geo_FILEID	Geo_LOGRECNO	Geo_US	Geo_REGION	Geo_DIVISION	Geo_STATECE	Geo_STATE	Geo_COUNTY	Geo_COUSUB	Geo_PLACE	Geo_PLACESE	Geo_TRACT	Geo_BLKGRP	Geo_CONCIT	Geo_AIANHH	Geo_AIANHHFP	Geo_AIHHTLI	Geo_AITSCE	Geo_AITS	Geo_ANRC	Geo_CBSA	Geo_CSA	Geo_METDIV	Geo_MACC	Geo_MEMI	Geo_NECTA	Geo_CNECTA	Geo_NECTADIV	Geo_UA	Geo_UACP	Geo_CDCURR	Geo_SLDU	Geo_SLDL	Geo_VTD	Geo_ZCTA3	Geo_ZCTA5	Geo_SUBMCD	Geo_SDELM	Geo_SDSEC	Geo_SDUNI	Geo_UR	Geo_PCI	Geo_TAZ	Geo_UGA	Geo_PUMA5	Geo_PUMA1	SE_A12002_001	SE_A12002_002	SE_A12002_003	SE_A12002_004	SE_A12002_005	SE_A12002_006	SE_A12002_007	SE_A12002_008
"21001970100"	"14000US21001970100"	"Census Tract 9701, Adair County, Kentucky"	"Census Tract 9701, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003570"	""	""	""	""	"21"	"001"	""	""	""	"970100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1051	359	384	268	8	9	23	0
"21001970200"	"14000US21001970200"	"Census Tract 9702, Adair County, Kentucky"	"Census Tract 9702, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003571"	""	""	""	""	"21"	"001"	""	""	""	"970200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1215	344	502	243	66	60	0	0
"21001970300"	"14000US21001970300"	"Census Tract 9703, Adair County, Kentucky"	"Census Tract 9703, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003572"	""	""	""	""	"21"	"001"	""	""	""	"970300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1928	702	783	230	175	17	8	13
"21001970400"	"14000US21001970400"	"Census Tract 9704, Adair County, Kentucky"	"Census Tract 9704, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003573"	""	""	""	""	"21"	"001"	""	""	""	"970400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	5314	1512	1718	1286	304	321	159	14
"21001970500"	"14000US21001970500"	"Census Tract 9705, Adair County, Kentucky"	"Census Tract 9705, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003574"	""	""	""	""	"21"	"001"	""	""	""	"970500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1433	467	503	285	113	58	7	0
"21001970600"	"14000US21001970600"	"Census Tract 9706, Adair County, Kentucky"	"Census Tract 9706, Adair County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003575"	""	""	""	""	"21"	"001"	""	""	""	"970600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1026	259	519	107	57	84	0	0
"21003980100"	"14000US21003980100"	"Census Tract 9801, Allen County, Kentucky"	"Census Tract 9801, Allen County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003576"	""	""	""	""	"21"	"003"	""	""	""	"980100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2072	488	818	529	133	67	28	9
"21003980200"	"14000US21003980200"	"Census Tract 9802, Allen County, Kentucky"	"Census Tract 9802, Allen County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003577"	""	""	""	""	"21"	"003"	""	""	""	"980200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1462	378	397	406	175	98	8	0
"21003980300"	"14000US21003980300"	"Census Tract 9803, Allen County, Kentucky"	"Census Tract 9803, Allen County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003578"	""	""	""	""	"21"	"003"	""	""	""	"980300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2939	757	1287	550	154	151	40	0
"21003980400"	"14000US21003980400"	"Census Tract 9804, Allen County, Kentucky"	"Census Tract 9804, Allen County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003579"	""	""	""	""	"21"	"003"	""	""	""	"980400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2926	734	1282	717	140	38	15	0
"21003980500"	"14000US21003980500"	"Census Tract 9805, Allen County, Kentucky"	"Census Tract 9805, Allen County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003580"	""	""	""	""	"21"	"003"	""	""	""	"980500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1033	379	424	189	8	33	0	0
"21003980600"	"14000US21003980600"	"Census Tract 9806, Allen County, Kentucky"	"Census Tract 9806, Allen County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003581"	""	""	""	""	"21"	"003"	""	""	""	"980600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2269	696	942	527	104	0	0	0
"21005950100"	"14000US21005950100"	"Census Tract 9501, Anderson County, Kentucky"	"Census Tract 9501, Anderson County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003582"	""	""	""	""	"21"	"005"	""	""	""	"950100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	4745	720	2007	1383	364	233	38	0
"21005950200"	"14000US21005950200"	"Census Tract 9502, Anderson County, Kentucky"	"Census Tract 9502, Anderson County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003583"	""	""	""	""	"21"	"005"	""	""	""	"950200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	5816	689	2213	1646	761	354	131	22
"21005950300"	"14000US21005950300"	"Census Tract 9503, Anderson County, Kentucky"	"Census Tract 9503, Anderson County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003584"	""	""	""	""	"21"	"005"	""	""	""	"950300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1700	225	853	353	173	85	11	0
"21005950400"	"14000US21005950400"	"Census Tract 9504, Anderson County, Kentucky"	"Census Tract 9504, Anderson County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003585"	""	""	""	""	"21"	"005"	""	""	""	"950400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1975	399	787	500	139	150	0	0
"21007950100"	"14000US21007950100"	"Census Tract 9501, Ballard County, Kentucky"	"Census Tract 9501, Ballard County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003586"	""	""	""	""	"21"	"007"	""	""	""	"950100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3125	561	1292	867	182	204	16	3
"21007950200"	"14000US21007950200"	"Census Tract 9502, Ballard County, Kentucky"	"Census Tract 9502, Ballard County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003587"	""	""	""	""	"21"	"007"	""	""	""	"950200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	911	132	385	224	84	61	13	12
"21007950300"	"14000US21007950300"	"Census Tract 9503, Ballard County, Kentucky"	"Census Tract 9503, Ballard County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003588"	""	""	""	""	"21"	"007"	""	""	""	"950300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1760	346	754	483	56	103	18	0
"21009950100"	"14000US21009950100"	"Census Tract 9501, Barren County, Kentucky"	"Census Tract 9501, Barren County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003589"	""	""	""	""	"21"	"009"	""	""	""	"950100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2364	502	842	395	269	195	161	0
"21009950200"	"14000US21009950200"	"Census Tract 9502, Barren County, Kentucky"	"Census Tract 9502, Barren County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003590"	""	""	""	""	"21"	"009"	""	""	""	"950200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2445	674	1177	353	109	107	9	16
"21009950300"	"14000US21009950300"	"Census Tract 9503, Barren County, Kentucky"	"Census Tract 9503, Barren County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003591"	""	""	""	""	"21"	"009"	""	""	""	"950300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1640	362	754	240	201	62	11	10
"21009950400"	"14000US21009950400"	"Census Tract 9504, Barren County, Kentucky"	"Census Tract 9504, Barren County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003592"	""	""	""	""	"21"	"009"	""	""	""	"950400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3733	786	1267	1044	306	219	73	38
"21009950500"	"14000US21009950500"	"Census Tract 9505, Barren County, Kentucky"	"Census Tract 9505, Barren County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003593"	""	""	""	""	"21"	"009"	""	""	""	"950500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2539	621	822	574	388	114	20	0
"21009950600"	"14000US21009950600"	"Census Tract 9506, Barren County, Kentucky"	"Census Tract 9506, Barren County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003594"	""	""	""	""	"21"	"009"	""	""	""	"950600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	4337	1211	1794	772	397	119	44	0
"21009950700"	"14000US21009950700"	"Census Tract 9507, Barren County, Kentucky"	"Census Tract 9507, Barren County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003595"	""	""	""	""	"21"	"009"	""	""	""	"950700"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3885	832	1493	938	312	264	34	12
"21009950800"	"14000US21009950800"	"Census Tract 9508, Barren County, Kentucky"	"Census Tract 9508, Barren County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003596"	""	""	""	""	"21"	"009"	""	""	""	"950800"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2226	397	1079	553	167	30	0	0
"21009950900"	"14000US21009950900"	"Census Tract 9509, Barren County, Kentucky"	"Census Tract 9509, Barren County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003597"	""	""	""	""	"21"	"009"	""	""	""	"950900"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2603	619	1129	578	178	71	10	18
"21009951000"	"14000US21009951000"	"Census Tract 9510, Barren County, Kentucky"	"Census Tract 9510, Barren County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003598"	""	""	""	""	"21"	"009"	""	""	""	"951000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2274	588	939	381	253	103	10	0
"21011970100"	"14000US21011970100"	"Census Tract 9701, Bath County, Kentucky"	"Census Tract 9701, Bath County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003599"	""	""	""	""	"21"	"011"	""	""	""	"970100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1142	253	602	197	54	33	0	3
"21011970200"	"14000US21011970200"	"Census Tract 9702, Bath County, Kentucky"	"Census Tract 9702, Bath County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003600"	""	""	""	""	"21"	"011"	""	""	""	"970200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	4478	1391	1547	840	378	256	29	37
"21011970300"	"14000US21011970300"	"Census Tract 9703, Bath County, Kentucky"	"Census Tract 9703, Bath County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003601"	""	""	""	""	"21"	"011"	""	""	""	"970300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2290	787	740	486	147	130	0	0
"21013960100"	"14000US21013960100"	"Census Tract 9601, Bell County, Kentucky"	"Census Tract 9601, Bell County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003602"	""	""	""	""	"21"	"013"	""	""	""	"960100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1768	856	549	191	64	55	37	16
"21013960200"	"14000US21013960200"	"Census Tract 9602, Bell County, Kentucky"	"Census Tract 9602, Bell County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003603"	""	""	""	""	"21"	"013"	""	""	""	"960200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	4070	1438	1409	648	271	144	160	0
"21013960300"	"14000US21013960300"	"Census Tract 9603, Bell County, Kentucky"	"Census Tract 9603, Bell County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003604"	""	""	""	""	"21"	"013"	""	""	""	"960300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1538	542	494	331	54	88	29	0
"21013960400"	"14000US21013960400"	"Census Tract 9604, Bell County, Kentucky"	"Census Tract 9604, Bell County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003605"	""	""	""	""	"21"	"013"	""	""	""	"960400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1377	536	493	297	41	10	0	0
"21013960500"	"14000US21013960500"	"Census Tract 9605, Bell County, Kentucky"	"Census Tract 9605, Bell County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003606"	""	""	""	""	"21"	"013"	""	""	""	"960500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1579	722	522	220	90	21	4	0
"21013960600"	"14000US21013960600"	"Census Tract 9606, Bell County, Kentucky"	"Census Tract 9606, Bell County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003607"	""	""	""	""	"21"	"013"	""	""	""	"960600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2928	908	1022	715	136	102	45	0
"21013960700"	"14000US21013960700"	"Census Tract 9607, Bell County, Kentucky"	"Census Tract 9607, Bell County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003608"	""	""	""	""	"21"	"013"	""	""	""	"960700"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2044	663	513	430	258	118	42	20
"21013960800"	"14000US21013960800"	"Census Tract 9608, Bell County, Kentucky"	"Census Tract 9608, Bell County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003609"	""	""	""	""	"21"	"013"	""	""	""	"960800"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2288	962	772	368	86	79	21	0
"21013960900"	"14000US21013960900"	"Census Tract 9609, Bell County, Kentucky"	"Census Tract 9609, Bell County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003610"	""	""	""	""	"21"	"013"	""	""	""	"960900"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1308	346	437	355	51	95	0	24
"21013961000"	"14000US21013961000"	"Census Tract 9610, Bell County, Kentucky"	"Census Tract 9610, Bell County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003611"	""	""	""	""	"21"	"013"	""	""	""	"961000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	816	298	266	161	40	29	0	22
"21015070100"	"14000US21015070100"	"Census Tract 701, Boone County, Kentucky"	"Census Tract 701, Boone County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003612"	""	""	""	""	"21"	"015"	""	""	""	"070100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	4450	877	1991	1151	267	138	12	14
"21015070200"	"14000US21015070200"	"Census Tract 702, Boone County, Kentucky"	"Census Tract 702, Boone County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003613"	""	""	""	""	"21"	"015"	""	""	""	"070200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3824	427	2016	1076	237	53	15	0
"21015070301"	"14000US21015070301"	"Census Tract 703.01, Boone County, Kentucky"	"Census Tract 703.01, Boone County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003614"	""	""	""	""	"21"	"015"	""	""	""	"070301"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3014	649	1344	690	310	0	0	21
"21015070304"	"14000US21015070304"	"Census Tract 703.04, Boone County, Kentucky"	"Census Tract 703.04, Boone County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003615"	""	""	""	""	"21"	"015"	""	""	""	"070304"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2240	699	849	482	153	57	0	0
"21015070305"	"14000US21015070305"	"Census Tract 703.05, Boone County, Kentucky"	"Census Tract 703.05, Boone County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003616"	""	""	""	""	"21"	"015"	""	""	""	"070305"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3966	176	1045	1362	936	367	51	29
"21015070306"	"14000US21015070306"	"Census Tract 703.06, Boone County, Kentucky"	"Census Tract 703.06, Boone County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003617"	""	""	""	""	"21"	"015"	""	""	""	"070306"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	7019	483	2246	2434	1224	487	93	52
"21015070307"	"14000US21015070307"	"Census Tract 703.07, Boone County, Kentucky"	"Census Tract 703.07, Boone County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003618"	""	""	""	""	"21"	"015"	""	""	""	"070307"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	6000	323	1525	2003	1310	678	127	34
"21015070308"	"14000US21015070308"	"Census Tract 703.08, Boone County, Kentucky"	"Census Tract 703.08, Boone County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003619"	""	""	""	""	"21"	"015"	""	""	""	"070308"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	4998	410	1388	1563	1188	372	62	15
"21015070309"	"14000US21015070309"	"Census Tract 703.09, Boone County, Kentucky"	"Census Tract 703.09, Boone County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003620"	""	""	""	""	"21"	"015"	""	""	""	"070309"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3240	136	831	1032	766	371	50	54
"21015070401"	"14000US21015070401"	"Census Tract 704.01, Boone County, Kentucky"	"Census Tract 704.01, Boone County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003621"	""	""	""	""	"21"	"015"	""	""	""	"070401"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	5085	346	927	1727	1432	490	153	10
"21015070402"	"14000US21015070402"	"Census Tract 704.02, Boone County, Kentucky"	"Census Tract 704.02, Boone County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003622"	""	""	""	""	"21"	"015"	""	""	""	"070402"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	5437	522	1572	1774	1058	377	103	31
"21015070501"	"14000US21015070501"	"Census Tract 705.01, Boone County, Kentucky"	"Census Tract 705.01, Boone County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003623"	""	""	""	""	"21"	"015"	""	""	""	"070501"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	8747	540	3178	3213	1269	403	62	82
"21015070502"	"14000US21015070502"	"Census Tract 705.02, Boone County, Kentucky"	"Census Tract 705.02, Boone County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003624"	""	""	""	""	"21"	"015"	""	""	""	"070502"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	3514	616	1453	716	561	156	12	0
"21015070601"	"14000US21015070601"	"Census Tract 706.01, Boone County, Kentucky"	"Census Tract 706.01, Boone County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003625"	""	""	""	""	"21"	"015"	""	""	""	"070601"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1537	123	659	432	209	80	34	0
"21015070603"	"14000US21015070603"	"Census Tract 706.03, Boone County, Kentucky"	"Census Tract 706.03, Boone County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003626"	""	""	""	""	"21"	"015"	""	""	""	"070603"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	7436	472	1852	2501	1630	659	233	89
"21015070604"	"14000US21015070604"	"Census Tract 706.04, Boone County, Kentucky"	"Census Tract 706.04, Boone County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003627"	""	""	""	""	"21"	"015"	""	""	""	"070604"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2172	270	836	610	243	140	73	0
"21017030100"	"14000US21017030100"	"Census Tract 301, Bourbon County, Kentucky"	"Census Tract 301, Bourbon County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003628"	""	""	""	""	"21"	"017"	""	""	""	"030100"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2566	533	1089	684	157	103	0	0
"21017030200"	"14000US21017030200"	"Census Tract 302, Bourbon County, Kentucky"	"Census Tract 302, Bourbon County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003629"	""	""	""	""	"21"	"017"	""	""	""	"030200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	4001	748	1484	1099	455	101	103	11
"21017030300"	"14000US21017030300"	"Census Tract 303, Bourbon County, Kentucky"	"Census Tract 303, Bourbon County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003630"	""	""	""	""	"21"	"017"	""	""	""	"030300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	2092	292	734	555	344	116	42	9
"21017030400"	"14000US21017030400"	"Census Tract 304, Bourbon County, Kentucky"	"Census Tract 304, Bourbon County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003631"	""	""	""	""	"21"	"017"	""	""	""	"030400"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1756	171	803	449	206	67	46	14
"21017030500"	"14000US21017030500"	"Census Tract 305, Bourbon County, Kentucky"	"Census Tract 305, Bourbon County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003632"	""	""	""	""	"21"	"017"	""	""	""	"030500"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1536	287	655	318	126	115	35	0
"21017030600"	"14000US21017030600"	"Census Tract 306, Bourbon County, Kentucky"	"Census Tract 306, Bourbon County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003633"	""	""	""	""	"21"	"017"	""	""	""	"030600"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1404	365	473	356	121	62	7	20
"21019030200"	"14000US21019030200"	"Census Tract 302, Boyd County, Kentucky"	"Census Tract 302, Boyd County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003634"	""	""	""	""	"21"	"019"	""	""	""	"030200"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	786	245	316	203	15	7	0	0
"21019030300"	"14000US21019030300"	"Census Tract 303, Boyd County, Kentucky"	"Census Tract 303, Boyd County, Kentucky"	"ky"	"140"	"00"	"ACSSF"	"0003635"	""	""	""	""	"21"	"019"	""	""	""	"030300"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1659	355	554	499	155	75	13	8
